WorkOrderID,EvalQuestTxt,EvalQuestValTxt,LocationName,City,State,SignDate,JobID,JobCategoryID,ProgramType,CustomerName,PrimaryTechnicianID,DistrictName,WOStatusID,Revenue,Expense,GP,Column1
240423-235,Additional Comments on Work Provided:,BRANCH LOCATION NOT OPEN YET FOR THE DAY,Bank of America MO3-213,Springfield,MO,2024-05-06 14:47:12,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,267,-224.63,42.37,
240426-254,If NO - Please Specify,Awaiting parts,THE HOME DEPOT 2580,WESTMINSTER,MD,2024-05-02 01:46:29,SXX0022,EBR,HDIBL,HOME DEPOT USA,IWashingto,District 2,POSTED,804.48,-942.91,-138.43,
240425-170,If NO - Please Specify,Survey only,AMAZON HAT9,AUSTELL,GA,2024-05-08 18:24:08,F241500,SP1,SP002,Amazon,JHarteau,,PMR,0,0,0,
240520-164,Additional Comments on Work Provided:,Quote for 2 high bay and one work area light,Ferguson 3006,FIFE,WA,2024-05-29 16:40:14,SXX0025,EBR,SERVIC,FERGUSON ENTERPRISES,PYusyavich,District 11,HDPRTR,0,-324.95,-324.95,
240513-177,If NO - Please Specify,Did do recommendations,Family Dollar 26935,HARLINGEN,TX,2024-05-16 22:56:56,SXX1024,LBR,LE,"DOLLAR TREE STORES, INC",RAGarcia,,HDPRTR,0,-277.98,-277.98,
240416-212,If NO - Please Specify,No job to complete at this time,THE HOME DEPOT 2825,CHASKA,MN,2024-05-02 02:28:35,B230010,ERO,HD438,HOME DEPOT USA,SLavizzo,District 8,PMR,0,-1224.39,-1224.39,
240424-191,Additional Comments on Work Provided:,"Contractor was very helpful and patient with the complex issue, All great and functional now",THE HOME DEPOT 2845,Richfield,MN,2024-05-30 20:35:07,SXX1021,LBR,SERVIC,HOME DEPOT USA,KEhrich,District 8,POSTED,1876.86,-1358.64,518.22,
240227-087,Additional Comments on Work Provided:,Great communication through the full process. Came the day before to locate supplies. Good job,Walmart Supercenter 1910,CRESCENT CITY,CA,2024-05-30 17:40:28,SXX1025,LBR,LE,WAL-MART STORES,JPerkins,District 12,POSTED,9558.28,-5041.44,4516.84,
240509-274,If NO - Please Specify,"Only arm, need complete fixture",Homegoods 1280704,Tucker,GA,2024-05-09 21:12:38,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",JHarteau,,POSTED,1249.97,-716.6,533.37,
240520-092,If NO - Please Specify,Contractors putting together list of parts to complete job,LOWES 1149,LAWNSIDE,NJ,2024-05-28 21:01:01,SXX0022,EBR,SERVIC,LOWES COMPANIES,FLinker,District 1,DISP,0,-887.33,-887.33,
240510-033,If NO - Please Specify,Lift needed.,DICKS SPORTING GOODS 471,Charlotte,NC,2024-05-15 18:36:35,SXX1023,LBR,LI,Dick's Sporting Goods,TColeman,District 3,RVWBLL,0,-126.41,-126.41,
240423-176,If NO - Please Specify,Need to return for 7 more lights.,THE HOME DEPOT 8561,BURLINGTON,WA,2024-05-31 23:30:47,HXX1200,LRM,HDE-R,HOME DEPOT USA,JOKaasa,District 11,PCA,0,0,0,
240425-517,Additional Comments on Work Provided:,BRANCH LOCATION NOT OPEN YET FOR THE DAY,Bank of America MO8-206,BLUE SPRINGS,MO,2024-05-01 13:49:57,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,267,-71.05,195.95,
240508-176,Additional Comments on Work Provided:,Jerry dehoyos,IKEA 167,COSTA MESA,CA,2024-05-23 08:24:37,SXX0025,EBR,SERVIC,ISS Facility Services,DAlsnauer,District 13,PBNTE,0,-1602.05,-1602.05,
240520-150,If NO - Please Specify,Return visit tonight at 9pm,Publix Super Markets 1832,MELBOURNE,FL,2024-05-21 22:06:42,SXX0020,EBR,SERVIC,Publix Super Markets,ISerrano,,RVWBLL,0,-100.61,-100.61,
240508-068,Additional Comments on Work Provided:,No one to sign,District Georgia Georgia,ALPHARETTA,GA,2024-05-09 21:16:10,SXX0023,EBR,INHOUS,ROGERS ELECTRIC IN HOUSE BILLI,JHarteau,District 4,RVWBLL,0,-187.51,-187.51,
240530-162,Additional Comments on Work Provided:,Job not completed,Walmart Supercenter 4144,AUGUSTA,GA,2024-05-31 15:10:01,SXX0023,EBR,SERVIC,WAL-MART STORES,KRewis,District 4,POSTED,453.13,0,453.13,
240429-067,If NO - Please Specify,Got part numbers for wall packs,CSL Plasma 10298,ROME,GA,2024-05-03 13:52:49,SXX0023,EBR,SERVIC,EMCOR / CSL Plasma,JHarteau,,PCA,0,-1334,-1334,
240515-151,Additional Comments on Work Provided:,The gfi was working as it's supposed to but the steamer is the problem.,DICKS SPORTING GOODS 302,CUMMING,GA,2024-05-17 16:30:36,SXX0023,EBR,SERVIC,Dick's Sporting Goods,drlee,District 4,POSTED,344,-144.72,199.28,
240418-184,Additional Comments on Work Provided:,Signed by GC leads workers,Best Buy 263,ELKRIDGE,MD,2024-05-24 15:47:19,B240031,ERO,BB137,Sheer Enterprises,BYoung,,POSTED,6720,-5555.94,1164.06,
240501-069,Additional Comments on Work Provided:,No work done because of miscommunication of back end,Staples 1023,Silverdale,WA,2024-05-21 03:04:34,B240009,ERO,SH1,Staples Facilities Dept,JSteele,District 11,PEND-D,0,-446.43,-446.43,
240425-645,Additional Comments on Work Provided:,No work was completed because of smaller store with no NABISCO display,SAFEWAY 942,MIDDLEBURG,VA,2024-05-06 21:19:52,B240044,ERO,IG001,The InSite Group,DVann,,PMR,0,-2346.92,-2346.92,
240425-511,Additional Comments on Work Provided:,REMOTE ATM SITE,Bank of America MOW-289,SAINT LOUIS,MO,2024-05-21 16:06:24,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,228,-29.73,198.27,
240507-207,Additional Comments on Work Provided:,REMOTE ATM SITE,Bank of America MOW-283,Arnold,MO,2024-05-21 13:01:55,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,CLOSED,0,-3.3,-3.3,
240110-180,Additional Comments on Work Provided:,"Fast, friendly, and efficient!",LOWES 1688,CORALVILLE,IA,2024-05-03 05:18:14,B240014,ERO,RO261,LOWES COMPANIES,JFranklin,District 8,POSTED,9500.34,-6063.34,3437,
240423-195,If NO - Please Specify,Need EBR tech to troubleshoot possible bad breaker,THE HOME DEPOT 1805,Twin Falls,ID,2024-05-08 20:20:03,HXX1200,LRM,HDE-R,HOME DEPOT USA,JOKaasa,District 11,POSTED,354.81,-100.23,254.58,
240426-105,If NO - Please Specify,Store not getting the new NABISCO END CAP.,SAFEWAY UMP04933,MC LEAN,VA,2024-05-16 19:59:31,B240044,ERO,IG001,The InSite Group,DVann,,PMR,0,-73.72,-73.72,
240527-066,Additional Comments on Work Provided:,David,Homegoods 1280568,Huntsville,AL,2024-05-27 23:55:48,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",ETaylor,,PMR,0,-277.47,-277.47,
240512-014,Additional Comments on Work Provided:,Can't have both espresso machines off,Starbucks 3296,SEATTLE,WA,2024-05-12 20:34:03,SXX0025,EBR,SERVIC,STARBUCKS CORPORATION,PYusyavich,District 11,MGRAPV,0,-678.49,-678.49,
240502-142,If NO - Please Specify,Have to order parts,Party City 485,Opelika,AL,2024-05-03 15:38:57,SXX0023,EBR,SERVIC,PARTY CITY,JAtkins,District 3,PCA,0,-82.69,-82.69,
240507-028,Additional Comments on Work Provided:,"Camera five has water, doesn't work, needs replacement",AMAZON DWS4,EVERETT,WA,2024-05-28 20:50:22,B240038,ERO,RS005,Remote Security Solutions,PYusyavich,,RVWBLL,0,-1988.7,-1988.7,
220604-139,Additional Comments on Work Provided:,"Good job, was a understanding of the ad set and helps out by preparing the until we finish printing label",THE HOME DEPOT 6353,Miramar,FL,2024-05-16 07:59:48,B220063,ERO,HD429,HOME DEPOT USA,GAcevedo,District 6,RVWBLL,0,-1839.84,-1839.84,
240425-510,Additional Comments on Work Provided:,Always great having Brenden come out to take care of our lights,Bank of America MO8-302,Kansas City,MO,2024-05-17 16:22:27,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,368.58,-127.51,241.07,
240508-242,Additional Comments on Work Provided:,Excellent performance and very clean work super pleased,Best Buy 845,FOLSOM,CA,2024-05-16 17:37:52,B240031,ERO,BB137,Final Phase Construction,COsborn,District 12,POSTED,3039.91,-1286.29,1753.62,
240510-050,If NO - Please Specify,Need to finish,Best Buy 503,DUNWOODY,GA,2024-05-21 20:50:53,SXX0023,EBR,SERVIC,Best Buy,JHarteau,District 4,POSTED,2032.99,-1035.97,997.02,
240521-188,Additional Comments on Work Provided:,Showed up fast and did clean work,The Church of Jesus Christ of 5112850,ORCHARD PARK,NY,2024-05-21 14:58:25,SXX1022,LBR,L-POLE,CBRE / LDS Church,MIFletcher,,PCA,0,-102.36,-102.36,
240520-130,Additional Comments on Work Provided:,Thank you so much.,Walmart Supercenter 2127,Wausau,WI,2024-05-21 03:15:16,SXX0021,EBR,WMGEN,WAL-MART STORES,MMcintyre,District 8,POSTED,6776.25,-2081.42,4694.83,
240525-022,Additional Comments on Work Provided:,Awesome Work,Walmart Supercenter 1910,CRESCENT CITY,CA,2024-05-30 18:13:12,SXX1025,LBR,LI,WAL-MART STORES,JPerkins,District 12,POSTED,210,-19.04,190.96,
240426-229,Additional Comments on Work Provided:,"Great job,",Murphy USA 5748,Moberly,MO,2024-05-08 14:55:39,SXX0021,EBR,SERVIC,MURPHY OIL USA,RMiles,District 8,POSTED,455.54,-348.9,106.64,
240516-197,If NO - Please Specify,Need 1 replacement fixture.,THE HOME DEPOT 8944,SEATTLE,WA,2024-05-22 21:56:02,SXX1025,LBR,LI,HOME DEPOT USA,RKlein,District 11,RVWBLL,0,-88.56,-88.56,
240509-261,If NO - Please Specify,Could not complete job. Need a lift,THE HOME DEPOT 4725,LONGVIEW,WA,2024-05-16 19:20:44,SXX0025,EBR,SERVIC,HOME DEPOT USA,DDewey,District 11,POSTED,1055.25,-836.61,218.64,
240116-213,If NO - Please Specify,Need to complete fryer,RaceTrac 1143,SMYRNA,GA,2024-05-16 20:00:29,B240010,ERO,RT025,Racetrac Petroleum,JHarteau,District 4,DISP,0,-7413.9,-7413.9,
240527-007,Additional Comments on Work Provided:,Need to come back asap,Sams Club 8294,Nashville,TN,2024-05-27 19:38:25,SXX0023,EBR,SERVIC,Sams Club,AUrbina,,HSCHED,0,-385.55,-385.55,
240515-169,Additional Comments on Work Provided:,Quote,THE HOME DEPOT 4702,SEATTLE,WA,2024-05-17 04:26:42,SXX0025,EBR,SERVIC,HOME DEPOT USA,PYusyavich,District 11,APPROV,0,-380.92,-380.92,
240504-018,If NO - Please Specify,Need a new timer switch,Marshalls 1100839,Buford,GA,2024-05-08 12:03:28,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",JHarteau,,POSTED,453.4,-243.78,209.62,
240430-046,If NO - Please Specify,Need 2-FO40/830/ECO lamps,Marshalls 1100715,Douglasville,GA,2024-05-01 16:51:54,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",JHarteau,,POSTED,553.12,-349.81,203.31,
240525-006,Additional Comments on Work Provided:,No service done today,DICKS SPORTING GOODS 5200,Smyrna,GA,2024-05-29 17:14:29,SXX0023,EBR,SERVIC,Dick's Sporting Goods,JHarteau,District 4,RVWBLL,0,-90.59,-90.59,
240503-028,Additional Comments on Work Provided:,Needs preliminary repairs NP,Best Buy 162,Cleveland,OH,2024-05-13 15:31:28,SXX1021,LBR,LE,Best Buy,SMFarr,District 7,HDRDIS,0,-403.11,-403.11,
240126-040,Additional Comments on Work Provided:,Very personable and did a great job,XPO Logistics XPO-XMP,MINNEAPOLIS,MN,2024-05-25 18:34:46,SXX0021,EBR,SERVIC,XPO LOGISTICS FREIGHT,CJSchmitt,District 8,POSTED,7402.5,-4540.34,2862.16,
240527-031,Additional Comments on Work Provided:,Needs more troubleshooting,Walmart Supercenter 2595,MARYSVILLE,WA,2024-05-30 21:40:19,SXX0025,EBR,SERVIC,WAL-MART STORES,PYusyavich,District 11,PCA,0,-549.34,-549.34,
240418-311,Additional Comments on Work Provided:,Aboveand beyond l,Best Buy 1415,Marysville,WA,2024-05-30 20:43:28,B240031,ERO,BB137,Sheer Enterprises,JOLewis,,RVWBLL,0,-2110.62,-2110.62,
240501-107,Additional Comments on Work Provided:,Thanks for sending him,Homegoods 1280822,Atlanta,GA,2024-05-02 15:46:09,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",RJoseph,,POSTED,499,-327.55,171.45,
240110-228,If NO - Please Specify,`! 98pchr,LOWES 2383,Cromwell,CT,2024-05-16 09:33:08,B240014,ERO,RO261,LOWES COMPANIES,DArroyo,District 1,POSTED,10289.17,-6347.7,3941.47,
240507-280,If NO - Please Specify,Wrote quote.,Family Dollar 28439,HAMMOND,LA,2024-05-09 21:57:20,SXX1024,LBR,EML,"DOLLAR TREE STORES, INC",JAThomas,,POSTED,1231.38,-486.82,744.56,
240507-028,If NO - Please Specify,Replaced camera and base,AMAZON DWS4,EVERETT,WA,2024-05-28 20:50:22,B240038,ERO,RS005,Remote Security Solutions,PYusyavich,,RVWBLL,0,-1988.7,-1988.7,
240507-116,If NO - Please Specify,Need a one man lift to troubleshoot.,Homegoods 1280193,Alpharetta,GA,2024-05-09 12:11:20,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",WRissing,,POSTED,1101.45,-250.77,850.68,
240507-085,Additional Comments on Work Provided:,Terry,Ferguson 2670,MOODY,AL,2024-05-08 14:53:47,SXX0023,EBR,SERVIC,FERGUSON ENTERPRISES,ETaylor,District 3,POSTED,262.5,-114.82,147.68,
240427-004,If NO - Please Specify,"PO was just for lamps, one light requires a new ballast.",THE HOME DEPOT 8944,SEATTLE,WA,2024-05-03 21:53:51,SXX1025,LBR,LE,HOME DEPOT USA,JOKaasa,District 11,POSTED,3571.39,-2809.87,761.52,
240508-218,Additional Comments on Work Provided:,Excellent work,Best Buy 133,SACRAMENTO,CA,2024-05-14 16:55:42,B240031,ERO,BB137,Final Phase Construction,AWatson,District 12,POSTED,3039.99,-1300.53,1739.46,
240513-082,If NO - Please Specify,David is ordering and sending a new relay to the store,Homegoods 1280277,Kennesaw,GA,2024-05-13 18:33:43,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",JHarteau,,POSTED,579,-122.32,456.68,
240426-324,Additional Comments on Work Provided:,REMOTE ATM SITE,Bank of America KSW-125,Wichita,KS,2024-05-15 18:53:46,HXX1600,LRM,GMRSGN,Cushman&Wakefield / BOA,BDale,District 8,POSTED,312.66,-68.71,243.95,
240508-117,Additional Comments on Work Provided:,REMOTE ATM SITE,Bank of America MOW-283,Arnold,MO,2024-05-21 12:57:57,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,267,-19.82,247.18,
240525-051,If NO - Please Specify,We changed the work order,THE HOME DEPOT 1116,MYRTLE BEACH,SC,2024-05-31 15:01:14,SXX0023,EBR,SERVIC,HOME DEPOT USA,MWandel,District 3,HSCHED,0,0,0,
240511-056,Additional Comments on Work Provided:,Work not finished,Sams Club 4879,AIKEN,SC,2024-05-24 18:11:53,SXX1023,LBR,LI,Sams Club,MKeeney,District 3,HDPRTC,0,-111.61,-111.61,
240528-224,Additional Comments on Work Provided:,Na,Marshalls 1100513,Stone Mountain,GA,2024-05-30 20:57:03,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",DVann,,POSTED,299,-127.39,171.61,
240425-515,Additional Comments on Work Provided:,BRANCH LOCATION NOT OPEN YET THIS MORNING,Bank of America MO8-305,Raytown,MO,2024-05-03 13:38:20,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,267,-52.85,214.15,
240426-294,If NO - Please Specify,Need 1 replacement fixture for women's restroom,THE HOME DEPOT 4025,ONTARIO,OR,2024-05-07 00:26:10,SXX1025,LBR,LI,HOME DEPOT USA,JOKaasa,District 11,POSTED,561.49,-839.5,-278.01,
240522-096,Additional Comments on Work Provided:,Na,Staples 1740,WINTER GARDEN,FL,2024-05-31 15:17:01,B240067,ERO,ST011,Staples Facilities Dept,MEnz,,POSTED,655,0,655,
240425-694,Additional Comments on Work Provided:,Thanks,SAFEWAY 1920,MCLEAN,VA,2024-05-16 18:25:52,B240044,ERO,IG001,The InSite Group,DVann,,POSTED,1530,-255.16,1274.84,
240502-094,Additional Comments on Work Provided:,Paper towel dispenser was broken.N0othing to do with electricity,TJ MAXX 1081298,Winder,GA,2024-05-03 16:47:12,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",ESaunders,,POSTED,179,-58.35,120.65,
240308-222,Additional Comments on Work Provided:,Electrician was fast and did a  good install,Burlington Coat Factory 1425,HENDERSON,NV,2024-05-14 18:25:39,B240030,ERO,BU003,Vaswani,JVankirk,,POSTED,1586,-1187.83,398.17,
240501-107,If NO - Please Specify,Contractor Stated that the CCTVs was not his area of responsibility,Homegoods 1280822,Atlanta,GA,2024-05-02 15:46:09,SXX0023,EBR,SERVIC,"THE TJX COMPANIES, INC",RJoseph,,POSTED,499,-327.55,171.45,
240301-379,Additional Comments on Work Provided:,"Great employee, very personable!",Petsmart 318,BRANDON,FL,2024-05-14 00:41:48,N240005,LRO,PS009,"PETSMART, INC",RGrandinet,District 5,POSTED,2627,-3015.85,-388.85,
240530-162,If NO - Please Specify,Unable to complete job due to EMS issue,Walmart Supercenter 4144,AUGUSTA,GA,2024-05-31 15:10:01,SXX0023,EBR,SERVIC,WAL-MART STORES,KRewis,District 4,POSTED,453.13,0,453.13,
240518-151,Additional Comments on Work Provided:,This team was excellent as always need Rodgers back in our stores,THE HOME DEPOT 0730,Knoxville,TN,2024-05-24 14:43:57,B240023,ERO,HC03,HOME DEPOT USA,KJanowicz,District 3,RVWBLL,0,-340.55,-340.55,
240423-205,If NO - Please Specify,Need to return with 6 replacement lamps.,THE HOME DEPOT 4726,Marysville,WA,2024-05-02 22:53:54,HXX1200,LRM,HDE-R,HOME DEPOT USA,JOKaasa,District 11,POSTED,950.73,-700.79,249.94,
240503-064,Additional Comments on Work Provided:,Shi,Publix Super Markets 0026,CUMMING,GA,2024-05-06 13:28:04,SXX1023,LBR,LI,Publix Super Markets,RSSmith,,POSTED,317.74,-103.96,213.78,
240516-122,Additional Comments on Work Provided:,Tech states the lights that are out do not belong to our property,Bank of America CA8-194,WOODLAND HLS,CA,2024-05-30 17:58:32,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,AValenzuel,District 13,POSTED,300,-109.41,190.59,
240501-072,Additional Comments on Work Provided:,Parts need to be ordered,Sams Club 6355,Hickory,NC,2024-05-02 21:20:43,SXX1023,LBR,CASE,Sams Club,SStojda,District 3,POSTED,1034.49,-332.2,702.29,
240422-113,Additional Comments on Work Provided:,Parts ordered,LOWES 330,HOLLAND,MI,2024-05-02 16:34:22,SXX1021,LBR,LI,LOWES COMPANIES,TFarnum,District 7,HDPRTR,0,-328.31,-328.31,
240429-098,Did Contractors Employees Cooperate with You?,Yes,District Mississippi Mississippi,JACKSON,MS,2024-05-01 00:03:00,SXX0023,EBR,TIC,ROGERS ELECTRIC IN HOUSE BILLI,CGrizzard,District 3,CLOSED,0,0,0,
240429-098,Overall Performance Was:,Excellent,District Mississippi Mississippi,JACKSON,MS,2024-05-01 00:03:00,SXX0023,EBR,TIC,ROGERS ELECTRIC IN HOUSE BILLI,CGrizzard,District 3,CLOSED,0,0,0,
240429-098,Was Contractors Quality of Work Satisfactory?,Yes,District Mississippi Mississippi,JACKSON,MS,2024-05-01 00:03:00,SXX0023,EBR,TIC,ROGERS ELECTRIC IN HOUSE BILLI,CGrizzard,District 3,CLOSED,0,0,0,
240429-098,Did Contractors Clean Up All Work Areas?,Yes,District Mississippi Mississippi,JACKSON,MS,2024-05-01 00:03:00,SXX0023,EBR,TIC,ROGERS ELECTRIC IN HOUSE BILLI,CGrizzard,District 3,CLOSED,0,0,0,
240430-152,Overall Performance Was:,Excellent,Bank of America CA9-147,N HOLLYWOOD,CA,2024-05-01 01:08:09,SXX0025,EBR,SERVIC,Cushman&Wakefield / BOA,PTrier,District 13,PCA,0,-1727.55,-1727.55,
240430-152,Was Contractors Quality of Work Satisfactory?,Yes,Bank of America CA9-147,N HOLLYWOOD,CA,2024-05-01 01:08:09,SXX0025,EBR,SERVIC,Cushman&Wakefield / BOA,PTrier,District 13,PCA,0,-1727.55,-1727.55,
240430-152,Did Contractors Employees Cooperate with You?,Yes,Bank of America CA9-147,N HOLLYWOOD,CA,2024-05-01 01:08:09,SXX0025,EBR,SERVIC,Cushman&Wakefield / BOA,PTrier,District 13,PCA,0,-1727.55,-1727.55,
240430-152,Did Contractors Clean Up All Work Areas?,Yes,Bank of America CA9-147,N HOLLYWOOD,CA,2024-05-01 01:08:09,SXX0025,EBR,SERVIC,Cushman&Wakefield / BOA,PTrier,District 13,PCA,0,-1727.55,-1727.55,
240429-180,Was Contractors Quality of Work Satisfactory?,Yes,Direct Supply Inc Groves Center 374,LAKE WALES,FL,2024-05-01 01:30:38,SXX0020,EBR,SERVIC,Direct Supply Inc,TKincaide,,POSTED,536.04,-584.7,-48.66,
240429-180,Overall Performance Was:,Excellent,Direct Supply Inc Groves Center 374,LAKE WALES,FL,2024-05-01 01:30:38,SXX0020,EBR,SERVIC,Direct Supply Inc,TKincaide,,POSTED,536.04,-584.7,-48.66,
240429-180,Did Contractors Clean Up All Work Areas?,Yes,Direct Supply Inc Groves Center 374,LAKE WALES,FL,2024-05-01 01:30:38,SXX0020,EBR,SERVIC,Direct Supply Inc,TKincaide,,POSTED,536.04,-584.7,-48.66,
240429-180,Did Contractors Employees Cooperate with You?,Yes,Direct Supply Inc Groves Center 374,LAKE WALES,FL,2024-05-01 01:30:38,SXX0020,EBR,SERVIC,Direct Supply Inc,TKincaide,,POSTED,536.04,-584.7,-48.66,
240327-249,Did Contractors Employees Cooperate with You?,Yes,XPO Logistics URE,SPARKS,NV,2024-05-01 01:31:07,SXX0025,EBR,SERVIC,XPO LOGISTICS FREIGHT,TMarshall,,POSTED,1279.06,-900.33,378.73,
240327-249,Did Contractors Clean Up All Work Areas?,Yes,XPO Logistics URE,SPARKS,NV,2024-05-01 01:31:07,SXX0025,EBR,SERVIC,XPO LOGISTICS FREIGHT,TMarshall,,POSTED,1279.06,-900.33,378.73,
240327-249,Overall Performance Was:,Excellent,XPO Logistics URE,SPARKS,NV,2024-05-01 01:31:07,SXX0025,EBR,SERVIC,XPO LOGISTICS FREIGHT,TMarshall,,POSTED,1279.06,-900.33,378.73,
240327-249,Was Contractors Quality of Work Satisfactory?,Yes,XPO Logistics URE,SPARKS,NV,2024-05-01 01:31:07,SXX0025,EBR,SERVIC,XPO LOGISTICS FREIGHT,TMarshall,,POSTED,1279.06,-900.33,378.73,
240427-019,Overall Performance Was:,Excellent,Marshalls 1100689,El Cajon,CA,2024-05-01 01:55:45,SXX0025,EBR,SERVIC,"THE TJX COMPANIES, INC",RUCastillo,,POSTED,307.96,-396.92,-88.96,
240427-019,Did Contractors Clean Up All Work Areas?,Yes,Marshalls 1100689,El Cajon,CA,2024-05-01 01:55:45,SXX0025,EBR,SERVIC,"THE TJX COMPANIES, INC",RUCastillo,,POSTED,307.96,-396.92,-88.96,
240427-019,Was Contractors Quality of Work Satisfactory?,Yes,Marshalls 1100689,El Cajon,CA,2024-05-01 01:55:45,SXX0025,EBR,SERVIC,"THE TJX COMPANIES, INC",RUCastillo,,POSTED,307.96,-396.92,-88.96,
240427-019,Did Contractors Employees Cooperate with You?,Yes,Marshalls 1100689,El Cajon,CA,2024-05-01 01:55:45,SXX0025,EBR,SERVIC,"THE TJX COMPANIES, INC",RUCastillo,,POSTED,307.96,-396.92,-88.96,
240404-125,Overall Performance Was:,,Publix Super Markets 0486,NORTH AUGUSTA,SC,2024-05-01 02:25:07,SXX1023,LBR,CASE,Publix Super Markets,MKeeney,District 3,POSTED,630.57,-381.23,249.34,
240428-011,Overall Performance Was:,,Publix Super Markets 0829,COLUMBIA,SC,2024-05-01 02:27:33,SXX1023,LBR,LI,Publix Super Markets,MKeeney,,POSTED,190.53,-193.43,-2.9,
220607-300,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 4123,Pittsburgh,PA,2024-05-01 03:13:47,B220063,ERO,HD429,HOME DEPOT USA,RFetterman,District 2,POSTED,2300,-975.04,1324.96,
220607-300,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 4123,Pittsburgh,PA,2024-05-01 03:13:47,B220063,ERO,HD429,HOME DEPOT USA,RFetterman,District 2,POSTED,2300,-975.04,1324.96,
