WorkOrderID,EvalQuestTxt,EvalQuestValTxt,LocationName,City,State,SignDate,JobID,JobCategoryID,ProgramType,CustomerName,PrimaryTechnicianID,DistrictName,WOStatusID,Revenue,Expense,GP
240320-018,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 1121,N MYRTLE BCH,SC,2024-05-30 04:12:34,B240049,ERO,HD471,HOME DEPOT USA,RRogers,District 3,RVWBLL,0,-914.03,-914.03
240320-018,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 1121,N MYRTLE BCH,SC,2024-05-30 04:12:34,B240049,ERO,HD471,HOME DEPOT USA,RRogers,District 3,RVWBLL,0,-914.03,-914.03
240320-018,Overall Performance Was:,Good,THE HOME DEPOT 1121,N MYRTLE BCH,SC,2024-05-30 04:12:34,B240049,ERO,HD471,HOME DEPOT USA,RRogers,District 3,RVWBLL,0,-914.03,-914.03
240514-139,Additional Comments on Work Provided:,I would suggest that a gfci receptacle instead of exist standard 15 Amp receptacle,Murphy USA 6994,KENDALLVILLE,IN,2024-05-17 22:06:38,SXX0021,EBR,SERVIC,MURPHY OIL USA,DRidley,District 7,POSTED,178.48,-133.92,44.56
240528-086,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 6617,GLENDORA,CA,2024-05-30 05:01:47,SXX0025,EBR,HDIBL,HOME DEPOT USA,SLintjr,District 13,POSTED,878,-502.07,375.93
240528-086,Overall Performance Was:,Excellent,THE HOME DEPOT 6617,GLENDORA,CA,2024-05-30 05:01:47,SXX0025,EBR,HDIBL,HOME DEPOT USA,SLintjr,District 13,POSTED,878,-502.07,375.93
240528-086,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 6617,GLENDORA,CA,2024-05-30 05:01:47,SXX0025,EBR,HDIBL,HOME DEPOT USA,SLintjr,District 13,POSTED,878,-502.07,375.93
240528-086,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6617,GLENDORA,CA,2024-05-30 05:01:47,SXX0025,EBR,HDIBL,HOME DEPOT USA,SLintjr,District 13,POSTED,878,-502.07,375.93
240521-348,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6860,SUGAR LAND,TX,2024-05-30 05:05:56,B240056,ERO,HD477,HOME DEPOT USA,TFarmer,District 10,TOBILL,0,-3433.54,-3433.54
240521-348,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 6860,SUGAR LAND,TX,2024-05-30 05:05:56,B240056,ERO,HD477,HOME DEPOT USA,TFarmer,District 10,TOBILL,0,-3433.54,-3433.54
240521-348,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 6860,SUGAR LAND,TX,2024-05-30 05:05:56,B240056,ERO,HD477,HOME DEPOT USA,TFarmer,District 10,TOBILL,0,-3433.54,-3433.54
240521-348,Overall Performance Was:,Excellent,THE HOME DEPOT 6860,SUGAR LAND,TX,2024-05-30 05:05:56,B240056,ERO,HD477,HOME DEPOT USA,TFarmer,District 10,TOBILL,0,-3433.54,-3433.54
240524-103,Overall Performance Was:,Excellent,LOWES 670,ORLANDO,FL,2024-05-30 05:14:17,B240069,ERO,RO265,LOWES COMPANIES,AJTorres,District 5,POSTED,2319,-646.6,1672.4
240524-103,Did Contractors Employees Cooperate with You?,Yes,LOWES 670,ORLANDO,FL,2024-05-30 05:14:17,B240069,ERO,RO265,LOWES COMPANIES,AJTorres,District 5,POSTED,2319,-646.6,1672.4
240524-103,Did Contractors Clean Up All Work Areas?,Yes,LOWES 670,ORLANDO,FL,2024-05-30 05:14:17,B240069,ERO,RO265,LOWES COMPANIES,AJTorres,District 5,POSTED,2319,-646.6,1672.4
240524-103,Was Contractors Quality of Work Satisfactory?,Yes,LOWES 670,ORLANDO,FL,2024-05-30 05:14:17,B240069,ERO,RO265,LOWES COMPANIES,AJTorres,District 5,POSTED,2319,-646.6,1672.4
240319-363,Overall Performance Was:,Excellent,THE HOME DEPOT 0159,ATLANTA,GA,2024-05-30 05:26:44,B240049,ERO,HD471,HOME DEPOT USA,JRicci,District 4,RVWBLL,0,-495.84,-495.84
240319-363,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 0159,ATLANTA,GA,2024-05-30 05:26:44,B240049,ERO,HD471,HOME DEPOT USA,JRicci,District 4,RVWBLL,0,-495.84,-495.84
240319-363,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 0159,ATLANTA,GA,2024-05-30 05:26:44,B240049,ERO,HD471,HOME DEPOT USA,JRicci,District 4,RVWBLL,0,-495.84,-495.84
240319-363,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 0159,ATLANTA,GA,2024-05-30 05:26:44,B240049,ERO,HD471,HOME DEPOT USA,JRicci,District 4,RVWBLL,0,-495.84,-495.84
240525-027,Overall Performance Was:,Excellent,THE HOME DEPOT 0915,VAUXHALL,NJ,2024-05-30 05:56:40,SXX0022,EBR,SERVIC,HOME DEPOT USA,WAlexander,District 1,POSTED,241,-64.44,176.56
240525-027,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 0915,VAUXHALL,NJ,2024-05-30 05:56:40,SXX0022,EBR,SERVIC,HOME DEPOT USA,WAlexander,District 1,POSTED,241,-64.44,176.56
240525-027,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 0915,VAUXHALL,NJ,2024-05-30 05:56:40,SXX0022,EBR,SERVIC,HOME DEPOT USA,WAlexander,District 1,POSTED,241,-64.44,176.56
240525-027,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 0915,VAUXHALL,NJ,2024-05-30 05:56:40,SXX0022,EBR,SERVIC,HOME DEPOT USA,WAlexander,District 1,POSTED,241,-64.44,176.56
240524-127,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 0965,Montville,NJ,2024-05-30 06:11:43,SXX0022,EBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,PCA,0,-270.87,-270.87
240524-127,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 0965,Montville,NJ,2024-05-30 06:11:43,SXX0022,EBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,PCA,0,-270.87,-270.87
240201-060,Additional Comments on Work Provided:,Need to order parts  .,Walmart Supercenter 1738,HUTCHINSON,MN,2024-02-06 23:12:02,SXX1021,LBR,LE,WAL-MART STORES,KEhrich,District 8,POSTED,3285.21,-2116,1169.21
240524-127,Overall Performance Was:,Excellent,THE HOME DEPOT 0965,Montville,NJ,2024-05-30 06:11:43,SXX0022,EBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,PCA,0,-270.87,-270.87
240524-127,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 0965,Montville,NJ,2024-05-30 06:11:43,SXX0022,EBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,PCA,0,-270.87,-270.87
240208-180,Overall Performance Was:,Excellent,Target 2346,Akron,OH,2024-05-30 07:29:18,B240004,ERO,TG083,"THOMAS-GRACE CONSTRUCTION, INC",JOHicks,,RVWBLL,0,-2982.65,-2982.65
240208-180,Did Contractors Clean Up All Work Areas?,Yes,Target 2346,Akron,OH,2024-05-30 07:29:18,B240004,ERO,TG083,"THOMAS-GRACE CONSTRUCTION, INC",JOHicks,,RVWBLL,0,-2982.65,-2982.65
240208-180,Did Contractors Employees Cooperate with You?,Yes,Target 2346,Akron,OH,2024-05-30 07:29:18,B240004,ERO,TG083,"THOMAS-GRACE CONSTRUCTION, INC",JOHicks,,RVWBLL,0,-2982.65,-2982.65
240208-180,Was Contractors Quality of Work Satisfactory?,Yes,Target 2346,Akron,OH,2024-05-30 07:29:18,B240004,ERO,TG083,"THOMAS-GRACE CONSTRUCTION, INC",JOHicks,,RVWBLL,0,-2982.65,-2982.65
240524-072,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 2562,Bowie,MD,2024-05-30 07:30:12,B240054,ERO,HD475,HOME DEPOT USA,jinge,District 2,APPROV,0,-905.52,-905.52
240524-072,Overall Performance Was:,Excellent,THE HOME DEPOT 2562,Bowie,MD,2024-05-30 07:30:12,B240054,ERO,HD475,HOME DEPOT USA,jinge,District 2,APPROV,0,-905.52,-905.52
240524-072,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 2562,Bowie,MD,2024-05-30 07:30:12,B240054,ERO,HD475,HOME DEPOT USA,jinge,District 2,APPROV,0,-905.52,-905.52
240524-072,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 2562,Bowie,MD,2024-05-30 07:30:12,B240054,ERO,HD475,HOME DEPOT USA,jinge,District 2,APPROV,0,-905.52,-905.52
240524-105,Was Contractors Quality of Work Satisfactory?,Yes,LOWES 3350,ORLANDO,FL,2024-05-30 07:44:42,B240069,ERO,RO265,LOWES COMPANIES,RPerez,District 5,POSTED,2860,-980.85,1879.15
240524-105,Did Contractors Employees Cooperate with You?,Yes,LOWES 3350,ORLANDO,FL,2024-05-30 07:44:42,B240069,ERO,RO265,LOWES COMPANIES,RPerez,District 5,POSTED,2860,-980.85,1879.15
240524-105,Did Contractors Clean Up All Work Areas?,Yes,LOWES 3350,ORLANDO,FL,2024-05-30 07:44:42,B240069,ERO,RO265,LOWES COMPANIES,RPerez,District 5,POSTED,2860,-980.85,1879.15
240320-016,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 0375,DENHAM SPGS,LA,2024-05-30 08:09:56,B240049,ERO,HD471,HOME DEPOT USA,JAThomas,District 9,RVWBLL,0,-307.8,-307.8
240320-016,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 0375,DENHAM SPGS,LA,2024-05-30 08:09:56,B240049,ERO,HD471,HOME DEPOT USA,JAThomas,District 9,RVWBLL,0,-307.8,-307.8
240320-016,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 0375,DENHAM SPGS,LA,2024-05-30 08:09:56,B240049,ERO,HD471,HOME DEPOT USA,JAThomas,District 9,RVWBLL,0,-307.8,-307.8
240320-017,Overall Performance Was:,Excellent,THE HOME DEPOT 3307,N LAS VEGAS,NV,2024-05-30 08:38:34,B240049,ERO,HD471,HOME DEPOT USA,TTamayo,District 12,RVWBLL,0,-206.99,-206.99
240320-017,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 3307,N LAS VEGAS,NV,2024-05-30 08:38:34,B240049,ERO,HD471,HOME DEPOT USA,TTamayo,District 12,RVWBLL,0,-206.99,-206.99
240320-017,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 3307,N LAS VEGAS,NV,2024-05-30 08:38:34,B240049,ERO,HD471,HOME DEPOT USA,TTamayo,District 12,RVWBLL,0,-206.99,-206.99
240320-017,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 3307,N LAS VEGAS,NV,2024-05-30 08:38:34,B240049,ERO,HD471,HOME DEPOT USA,TTamayo,District 12,RVWBLL,0,-206.99,-206.99
240426-312,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 6956,Honesdale,PA,2024-05-30 08:50:07,B240023,ERO,HC03,HOME DEPOT USA,CHolzmann,District 2,RVWBLL,0,-545.86,-545.86
240426-312,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 6956,Honesdale,PA,2024-05-30 08:50:07,B240023,ERO,HC03,HOME DEPOT USA,CHolzmann,District 2,RVWBLL,0,-545.86,-545.86
240426-312,Overall Performance Was:,Excellent,THE HOME DEPOT 6956,Honesdale,PA,2024-05-30 08:50:07,B240023,ERO,HC03,HOME DEPOT USA,CHolzmann,District 2,RVWBLL,0,-545.86,-545.86
240426-312,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6956,Honesdale,PA,2024-05-30 08:50:07,B240023,ERO,HC03,HOME DEPOT USA,CHolzmann,District 2,RVWBLL,0,-545.86,-545.86
240320-019,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 0578,HOUSTON,TX,2024-05-30 09:08:07,B240049,ERO,HD471,HOME DEPOT USA,RRosales,District 10,RVWBLL,0,-356.71,-356.71
240320-019,Overall Performance Was:,Excellent,THE HOME DEPOT 0578,HOUSTON,TX,2024-05-30 09:08:07,B240049,ERO,HD471,HOME DEPOT USA,RRosales,District 10,RVWBLL,0,-356.71,-356.71
240320-019,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 0578,HOUSTON,TX,2024-05-30 09:08:07,B240049,ERO,HD471,HOME DEPOT USA,RRosales,District 10,RVWBLL,0,-356.71,-356.71
240320-019,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 0578,HOUSTON,TX,2024-05-30 09:08:07,B240049,ERO,HD471,HOME DEPOT USA,RRosales,District 10,RVWBLL,0,-356.71,-356.71
240526-109,Did Contractors Employees Cooperate with You?,Yes,Publix Super Markets 0765,DUNWOODY,GA,2024-05-30 11:55:17,SXX1023,LBR,LI,Publix Super Markets,LWatson,,POSTED,299.67,-75.21,224.46
240526-109,Overall Performance Was:,Excellent,Publix Super Markets 0765,DUNWOODY,GA,2024-05-30 11:55:17,SXX1023,LBR,LI,Publix Super Markets,LWatson,,POSTED,299.67,-75.21,224.46
240526-109,Did Contractors Clean Up All Work Areas?,Yes,Publix Super Markets 0765,DUNWOODY,GA,2024-05-30 11:55:17,SXX1023,LBR,LI,Publix Super Markets,LWatson,,POSTED,299.67,-75.21,224.46
240526-109,Was Contractors Quality of Work Satisfactory?,Yes,Publix Super Markets 0765,DUNWOODY,GA,2024-05-30 11:55:17,SXX1023,LBR,LI,Publix Super Markets,LWatson,,POSTED,299.67,-75.21,224.46
240331-130,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 2109,COUNCIL BLFS,IA,2024-05-30 12:36:43,B240023,ERO,HC03,HOME DEPOT USA,BFisher,District 8,RVWBLL,0,-49.57,-49.57
240331-130,Overall Performance Was:,Excellent,THE HOME DEPOT 2109,COUNCIL BLFS,IA,2024-05-30 12:36:43,B240023,ERO,HC03,HOME DEPOT USA,BFisher,District 8,RVWBLL,0,-49.57,-49.57
240331-130,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 2109,COUNCIL BLFS,IA,2024-05-30 12:36:43,B240023,ERO,HC03,HOME DEPOT USA,BFisher,District 8,RVWBLL,0,-49.57,-49.57
240331-130,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 2109,COUNCIL BLFS,IA,2024-05-30 12:36:43,B240023,ERO,HC03,HOME DEPOT USA,BFisher,District 8,RVWBLL,0,-49.57,-49.57
240529-060,Did Contractors Employees Cooperate with You?,Yes,Marshalls 1100571,Brandywine,MD,2024-05-30 13:00:46,SXX0022,EBR,TJXUPS,"THE TJX COMPANIES, INC",GMarshall,,HDPRTR,0,-168.59,-168.59
240529-060,Did Contractors Clean Up All Work Areas?,Yes,Marshalls 1100571,Brandywine,MD,2024-05-30 13:00:46,SXX0022,EBR,TJXUPS,"THE TJX COMPANIES, INC",GMarshall,,HDPRTR,0,-168.59,-168.59
240529-060,Was Contractors Quality of Work Satisfactory?,Yes,Marshalls 1100571,Brandywine,MD,2024-05-30 13:00:46,SXX0022,EBR,TJXUPS,"THE TJX COMPANIES, INC",GMarshall,,HDPRTR,0,-168.59,-168.59
240529-060,Overall Performance Was:,Excellent,Marshalls 1100571,Brandywine,MD,2024-05-30 13:00:46,SXX0022,EBR,TJXUPS,"THE TJX COMPANIES, INC",GMarshall,,HDPRTR,0,-168.59,-168.59
240426-314,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 6547,San Antonio,TX,2024-05-30 13:07:33,B240023,ERO,HC03,HOME DEPOT USA,PARodrigue,District 10,RVWBLL,0,-84.91,-84.91
240426-314,Overall Performance Was:,Excellent,THE HOME DEPOT 6547,San Antonio,TX,2024-05-30 13:07:33,B240023,ERO,HC03,HOME DEPOT USA,PARodrigue,District 10,RVWBLL,0,-84.91,-84.91
240426-314,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 6547,San Antonio,TX,2024-05-30 13:07:33,B240023,ERO,HC03,HOME DEPOT USA,PARodrigue,District 10,RVWBLL,0,-84.91,-84.91
240426-314,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6547,San Antonio,TX,2024-05-30 13:07:33,B240023,ERO,HC03,HOME DEPOT USA,PARodrigue,District 10,RVWBLL,0,-84.91,-84.91
240331-138,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 3486,MERRIMACK,NH,2024-05-30 13:35:05,B240023,ERO,HC03,HOME DEPOT USA,RDemers,District 1,RVWBLL,0,-210.15,-210.15
240331-138,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 3486,MERRIMACK,NH,2024-05-30 13:35:05,B240023,ERO,HC03,HOME DEPOT USA,RDemers,District 1,RVWBLL,0,-210.15,-210.15
240331-138,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 3486,MERRIMACK,NH,2024-05-30 13:35:05,B240023,ERO,HC03,HOME DEPOT USA,RDemers,District 1,RVWBLL,0,-210.15,-210.15
240529-057,Did Contractors Clean Up All Work Areas?,Yes,Sams Club 6616,Fullerton,CA,2024-05-30 13:39:43,SXX0025,EBR,SERVIC,Sams Club,SLintjr,District 13,HDPRTC,0,-387.46,-387.46
240529-057,Did Contractors Employees Cooperate with You?,Yes,Sams Club 6616,Fullerton,CA,2024-05-30 13:39:43,SXX0025,EBR,SERVIC,Sams Club,SLintjr,District 13,HDPRTC,0,-387.46,-387.46
240529-057,Overall Performance Was:,Excellent,Sams Club 6616,Fullerton,CA,2024-05-30 13:39:43,SXX0025,EBR,SERVIC,Sams Club,SLintjr,District 13,HDPRTC,0,-387.46,-387.46
240529-057,Was Contractors Quality of Work Satisfactory?,Yes,Sams Club 6616,Fullerton,CA,2024-05-30 13:39:43,SXX0025,EBR,SERVIC,Sams Club,SLintjr,District 13,HDPRTC,0,-387.46,-387.46
240522-200,Was Contractors Quality of Work Satisfactory?,Yes,Murphy USA 7138,New Orleans,LA,2024-05-30 13:46:04,SXX0024,EBR,SERVIC,MURPHY OIL USA,RClements,District 9,POSTED,198.48,-62.78,135.7
240522-200,Overall Performance Was:,Excellent,Murphy USA 7138,New Orleans,LA,2024-05-30 13:46:04,SXX0024,EBR,SERVIC,MURPHY OIL USA,RClements,District 9,POSTED,198.48,-62.78,135.7
240522-200,Did Contractors Clean Up All Work Areas?,Yes,Murphy USA 7138,New Orleans,LA,2024-05-30 13:46:04,SXX0024,EBR,SERVIC,MURPHY OIL USA,RClements,District 9,POSTED,198.48,-62.78,135.7
240522-200,Did Contractors Employees Cooperate with You?,Yes,Murphy USA 7138,New Orleans,LA,2024-05-30 13:46:04,SXX0024,EBR,SERVIC,MURPHY OIL USA,RClements,District 9,POSTED,198.48,-62.78,135.7
240526-124,Did Contractors Employees Cooperate with You?,Yes,Publix Super Markets 0599,ATLANTA,GA,2024-05-30 13:50:52,SXX1023,LBR,CASE,Publix Super Markets,LWatson,,POSTED,228.78,-74.1,154.68
240526-124,Did Contractors Clean Up All Work Areas?,Yes,Publix Super Markets 0599,ATLANTA,GA,2024-05-30 13:50:52,SXX1023,LBR,CASE,Publix Super Markets,LWatson,,POSTED,228.78,-74.1,154.68
240526-124,Was Contractors Quality of Work Satisfactory?,Yes,Publix Super Markets 0599,ATLANTA,GA,2024-05-30 13:50:52,SXX1023,LBR,CASE,Publix Super Markets,LWatson,,POSTED,228.78,-74.1,154.68
240526-124,Overall Performance Was:,Excellent,Publix Super Markets 0599,ATLANTA,GA,2024-05-30 13:50:52,SXX1023,LBR,CASE,Publix Super Markets,LWatson,,POSTED,228.78,-74.1,154.68
240425-076,Was Contractors Quality of Work Satisfactory?,Yes,Jewel Osco UMP03097,DOWNERS GROVE,IL,2024-05-30 13:52:11,B240044,ERO,IG001,The InSite Group,ELKing,,RVWBLL,0,-208.28,-208.28
240425-076,Did Contractors Employees Cooperate with You?,Yes,Jewel Osco UMP03097,DOWNERS GROVE,IL,2024-05-30 13:52:11,B240044,ERO,IG001,The InSite Group,ELKing,,RVWBLL,0,-208.28,-208.28
240425-076,Did Contractors Clean Up All Work Areas?,Yes,Jewel Osco UMP03097,DOWNERS GROVE,IL,2024-05-30 13:52:11,B240044,ERO,IG001,The InSite Group,ELKing,,RVWBLL,0,-208.28,-208.28
240425-076,Overall Performance Was:,Excellent,Jewel Osco UMP03097,DOWNERS GROVE,IL,2024-05-30 13:52:11,B240044,ERO,IG001,The InSite Group,ELKing,,RVWBLL,0,-208.28,-208.28
